Energies(kcal/mol): TOTAL_SOLV -8.77203  POLAR_SOLV -10.2517  NONPOLAR_SOLV 1.47968
Energies(kcal/mol): TOTAL_SOLV -10.556  POLAR_SOLV -15.1306  NONPOLAR_SOLV 4.57462
Energies(kcal/mol): TOTAL_SOLV -3.76322  POLAR_SOLV -6.08735  NONPOLAR_SOLV 2.32414
Energies(kcal/mol): TOTAL_SOLV -1.94927  POLAR_SOLV -1.7668  NONPOLAR_SOLV -0.18247
Energies(kcal/mol): TOTAL_SOLV 1.67062  POLAR_SOLV 0.0372371  NONPOLAR_SOLV 1.63338
Energies(kcal/mol): TOTAL_SOLV 0.412033  POLAR_SOLV -1.3733  NONPOLAR_SOLV 1.78534
Energies(kcal/mol): TOTAL_SOLV -7.65294  POLAR_SOLV -8.39404  NONPOLAR_SOLV 0.741102
Energies(kcal/mol): TOTAL_SOLV 1.27788  POLAR_SOLV -0.00337146  NONPOLAR_SOLV 1.28125
Energies(kcal/mol): TOTAL_SOLV -1.18861  POLAR_SOLV -2.1061  NONPOLAR_SOLV 0.917491
Energies(kcal/mol): TOTAL_SOLV -0.765218  POLAR_SOLV -2.02633  NONPOLAR_SOLV 1.26111
Energies(kcal/mol): TOTAL_SOLV -13.3826  POLAR_SOLV -13.8637  NONPOLAR_SOLV 0.481131
Energies(kcal/mol): TOTAL_SOLV -1.11061  POLAR_SOLV -6.8211  NONPOLAR_SOLV 5.71049
Energies(kcal/mol): TOTAL_SOLV -3.9404  POLAR_SOLV -5.81169  NONPOLAR_SOLV 1.87129
Energies(kcal/mol): TOTAL_SOLV 0.765578  POLAR_SOLV -0.44523  NONPOLAR_SOLV 1.21081
Energies(kcal/mol): TOTAL_SOLV -3.603  POLAR_SOLV -5.7864  NONPOLAR_SOLV 2.1834
Energies(kcal/mol): TOTAL_SOLV -2.64984  POLAR_SOLV -4.99596  NONPOLAR_SOLV 2.34612
Energies(kcal/mol): TOTAL_SOLV 0.59982  POLAR_SOLV -0.0907172  NONPOLAR_SOLV 0.690537
Energies(kcal/mol): TOTAL_SOLV -3.82767  POLAR_SOLV -6.55483  NONPOLAR_SOLV 2.72716
Energies(kcal/mol): TOTAL_SOLV -0.861715  POLAR_SOLV -2.08314  NONPOLAR_SOLV 1.22143
Energies(kcal/mol): TOTAL_SOLV -0.933085  POLAR_SOLV -2.11725  NONPOLAR_SOLV 1.18417
Energies(kcal/mol): TOTAL_SOLV -3.01502  POLAR_SOLV -3.30014  NONPOLAR_SOLV 0.285125
Energies(kcal/mol): TOTAL_SOLV -0.0281308  POLAR_SOLV -1.53418  NONPOLAR_SOLV 1.50605
Energies(kcal/mol): TOTAL_SOLV -2.95308  POLAR_SOLV -6.68629  NONPOLAR_SOLV 3.73321
Energies(kcal/mol): TOTAL_SOLV -4.50648  POLAR_SOLV -6.41312  NONPOLAR_SOLV 1.90663
Energies(kcal/mol): TOTAL_SOLV -4.99173  POLAR_SOLV -5.5784  NONPOLAR_SOLV 0.586678
Energies(kcal/mol): TOTAL_SOLV -4.29289  POLAR_SOLV -6.36532  NONPOLAR_SOLV 2.07244
Energies(kcal/mol): TOTAL_SOLV -1.15409  POLAR_SOLV -2.54453  NONPOLAR_SOLV 1.39044
Energies(kcal/mol): TOTAL_SOLV -1.48373  POLAR_SOLV -3.64056  NONPOLAR_SOLV 2.15683
Energies(kcal/mol): TOTAL_SOLV -0.973236  POLAR_SOLV -1.38536  NONPOLAR_SOLV 0.41212
Energies(kcal/mol): TOTAL_SOLV -2.57306  POLAR_SOLV -3.85028  NONPOLAR_SOLV 1.27722
Energies(kcal/mol): TOTAL_SOLV -6.05591  POLAR_SOLV -6.32244  NONPOLAR_SOLV 0.266536
Energies(kcal/mol): TOTAL_SOLV -3.48837  POLAR_SOLV -5.71942  NONPOLAR_SOLV 2.23105
Energies(kcal/mol): TOTAL_SOLV -1.22818  POLAR_SOLV -4.59161  NONPOLAR_SOLV 3.36342
Energies(kcal/mol): TOTAL_SOLV -5.48083  POLAR_SOLV -6.34362  NONPOLAR_SOLV 0.862794
Energies(kcal/mol): TOTAL_SOLV 1.12279  POLAR_SOLV -0.436931  NONPOLAR_SOLV 1.55972
Energies(kcal/mol): TOTAL_SOLV -11.9997  POLAR_SOLV -14.3259  NONPOLAR_SOLV 2.32621
Energies(kcal/mol): TOTAL_SOLV 0.528706  POLAR_SOLV -0.674274  NONPOLAR_SOLV 1.20298
Energies(kcal/mol): TOTAL_SOLV -4.82005  POLAR_SOLV -5.56287  NONPOLAR_SOLV 0.742818
Energies(kcal/mol): TOTAL_SOLV -8.4162  POLAR_SOLV -10.568  NONPOLAR_SOLV 2.15183
Energies(kcal/mol): TOTAL_SOLV -3.19388  POLAR_SOLV -3.52082  NONPOLAR_SOLV 0.326948
Energies(kcal/mol): TOTAL_SOLV -1.11117  POLAR_SOLV -3.1145  NONPOLAR_SOLV 2.00333
Energies(kcal/mol): TOTAL_SOLV -4.82159  POLAR_SOLV -5.72821  NONPOLAR_SOLV 0.906618
Energies(kcal/mol): TOTAL_SOLV -8.33758  POLAR_SOLV -10.2353  NONPOLAR_SOLV 1.89769
Energies(kcal/mol): TOTAL_SOLV -6.28633  POLAR_SOLV -7.64976  NONPOLAR_SOLV 1.36343
Energies(kcal/mol): TOTAL_SOLV -1.93355  POLAR_SOLV -1.96355  NONPOLAR_SOLV 0.029992
Energies(kcal/mol): TOTAL_SOLV -4.42665  POLAR_SOLV -6.78509  NONPOLAR_SOLV 2.35844
Energies(kcal/mol): TOTAL_SOLV -3.11673  POLAR_SOLV -4.72473  NONPOLAR_SOLV 1.60801
Energies(kcal/mol): TOTAL_SOLV -0.469763  POLAR_SOLV -1.87812  NONPOLAR_SOLV 1.40835
Energies(kcal/mol): TOTAL_SOLV -3.48514  POLAR_SOLV -5.33896  NONPOLAR_SOLV 1.85382
