COMPONENT,DIPOLE,QUADRUPOLE,OCTUPOLE,TOTAL CORRECTION,POLAR,TIP3P POLAR,NONPOLAR,TIP3P NONPOLAR,POLAR+NONPOLAR,TIP3P,EXPT,ABS DIPOLE,ABS QUADRUPOLE,ABS OCTUPOLE,ABS TOTAL CORRECTION,ABS POLAR,ABS TIP3P POLAR,ABS NONPOLAR,ABS TIP3P NONPOLAR,ABS POLAR+NONPOLAR,ABS TIP3P,ABS EXPT,QUADRUPOLE rel DIPOLE,OCTUPOLE rel DIPOLE,TOTAL CORRECTION rel DIPOLE,NONPOLAR rel DIPOLE,POLAR rel TIP3P POLAR,NONPOLAR rel TIP3P NONPOLAR,POLAR+NONPOLAR rel TIP3P,POLAR+NONPOLAR rel EXPT,POLAR RMSD TIP3P POLAR,NONPOLAR RMSD TIP3P NONPOLAR,POLAR+NONPOLAR RMSD TIP3P,POLAR+NONPOLAR RMSD EXPT
AVERAGE,-8.14,4.99,-1.47,3.52,-4.62,-5.14,0.81,1.53,-3.81,-3.61,-3.76,8.15,4.99,1.47,3.53,4.63,5.14,0.96,1.53,4.17,4.14,4.14,67%,42%,41%,937%,148%,99%,118%,103%,1.03,0.99,0.93,0.96
14_dimethylnaphthalene,-4.14,1.47,-1.27,0.20,-3.95,-4.66,1.17,1.57,-2.78,-3.08,-2.82,4.14,1.47,1.27,0.20,3.95,4.66,1.17,1.57,2.78,3.08,2.82,35%,31%,5%,28%,85%,74%,90%,98%,-,-,-,-
14_dimethyl_piperazine,-7.91,2.88,-0.52,2.36,-5.54,-8.42,0.72,0.54,-4.83,-7.87,-7.58,7.91,2.88,0.52,2.36,5.54,8.42,0.72,0.54,4.83,7.87,7.58,36%,7%,30%,9%,66%,132%,61%,64%,-,-,-,-
1_methylcyclohexene,-0.61,0.26,-0.26,0.01,-0.60,-0.65,1.31,1.99,0.72,1.34,0.67,0.61,0.26,0.26,0.01,0.60,0.65,1.31,1.99,0.72,1.34,0.67,44%,42%,1%,217%,92%,66%,53%,107%,-,-,-,-
1_methyl_imidazole,-12.05,5.63,-1.01,4.62,-7.43,-7.03,0.74,0.75,-6.68,-6.28,-8.41,12.05,5.63,1.01,4.62,7.43,7.03,0.74,0.75,6.68,6.28,8.41,47%,8%,38%,6%,106%,99%,106%,79%,-,-,-,-
1_naphthylamine,-9.49,4.64,-4.37,0.26,-9.23,-8.51,1.04,0.74,-8.19,-7.78,-7.28,9.49,4.64,4.37,0.26,9.23,8.51,1.04,0.74,8.19,7.78,7.28,49%,46%,3%,11%,108%,141%,105%,112%,-,-,-,-
22_dimethylpentane,0.08,0.04,-0.07,-0.03,0.05,0.01,1.46,2.67,1.51,2.69,2.88,0.08,0.04,0.07,0.03,0.05,0.01,1.46,2.67,1.51,2.69,2.88,47%,89%,41%,1765%,441%,55%,56%,52%,-,-,-,-
23_dimethylpyridine,-8.43,3.86,-0.82,3.04,-5.40,-4.92,0.49,1.55,-4.91,-3.37,-4.82,8.43,3.86,0.82,3.04,5.40,4.92,0.49,1.55,4.91,3.37,4.82,46%,10%,36%,6%,110%,31%,146%,102%,-,-,-,-
24_dimethylphenol,-8.82,5.21,-3.39,1.82,-7.00,-6.67,1.03,1.69,-5.97,-4.98,-6.01,8.82,5.21,3.39,1.82,7.00,6.67,1.03,1.69,5.97,4.98,6.01,59%,38%,21%,12%,105%,61%,120%,99%,-,-,-,-
24_dimethylpyridine,-8.50,3.86,-0.80,3.06,-5.44,-5.00,0.52,1.72,-4.92,-3.28,-4.86,8.50,3.86,0.80,3.06,5.44,5.00,0.52,1.72,4.92,3.28,4.86,45%,9%,36%,6%,109%,30%,150%,101%,-,-,-,-
25_dimethylphenol,-8.83,5.18,-3.34,1.84,-7.00,-6.71,1.15,1.70,-5.85,-5.01,-5.91,8.83,5.18,3.34,1.84,7.00,6.71,1.15,1.70,5.85,5.01,5.91,59%,38%,21%,13%,104%,68%,117%,99%,-,-,-,-
25_dimethylpyridine,-8.32,3.85,-0.79,3.05,-5.27,-4.85,0.76,1.69,-4.51,-3.17,-4.72,8.32,3.85,0.79,3.05,5.27,4.85,0.76,1.69,4.51,3.17,4.72,46%,10%,37%,9%,109%,45%,143%,96%,-,-,-,-
25_dimethyltetrahydrofuran,-4.95,2.20,-0.31,1.89,-3.06,-3.40,1.10,1.61,-1.96,-1.79,-2.92,4.95,2.20,0.31,1.89,3.06,3.40,1.10,1.61,1.96,1.79,2.92,44%,6%,38%,22%,90%,68%,109%,67%,-,-,-,-
26_dimethylaniline,-8.01,3.89,-3.56,0.33,-7.68,-7.24,1.12,1.67,-6.57,-5.57,-5.21,8.01,3.89,3.56,0.33,7.68,7.24,1.12,1.67,6.57,5.57,5.21,49%,44%,4%,14%,106%,67%,118%,126%,-,-,-,-
26_dimethylnaphthalene,-4.08,1.50,-1.30,0.20,-3.88,-4.61,1.33,1.76,-2.55,-2.85,-2.63,4.08,1.50,1.30,0.20,3.88,4.61,1.33,1.76,2.55,2.85,2.63,37%,32%,5%,33%,84%,76%,90%,97%,-,-,-,-
3_cyanopyridine,-12.55,7.41,-1.37,6.04,-6.51,-5.83,0.11,0.25,-6.39,-5.58,-6.75,12.55,7.41,1.37,6.04,6.51,5.83,0.11,0.25,6.39,5.58,6.75,59%,11%,48%,1%,111%,45%,115%,95%,-,-,-,-
3_formylpyridine,-16.28,10.40,-1.43,8.97,-7.31,-8.11,0.21,0.69,-7.10,-7.43,-7.10,16.28,10.40,1.43,8.97,7.31,8.11,0.21,0.69,7.10,7.43,7.10,64%,9%,55%,1%,90%,30%,96%,100%,-,-,-,-
3_hydroxybenzaldehyde,-17.40,12.40,-4.37,8.04,-9.36,-10.20,0.33,0.83,-9.04,-9.37,-9.52,17.40,12.40,4.37,8.04,9.36,10.20,0.33,0.83,9.04,9.37,9.52,71%,25%,46%,2%,92%,39%,96%,95%,-,-,-,-
3_methyl_1h_indole,-9.03,4.17,-4.23,-0.06,-9.09,-9.20,1.48,1.04,-7.62,-8.16,-5.88,9.03,4.17,4.23,0.06,9.09,9.20,1.48,1.04,7.62,8.16,5.88,46%,47%,1%,16%,99%,142%,93%,130%,-,-,-,-
4_cyanopyridine,-12.65,7.22,-1.43,5.79,-6.86,-6.00,0.36,0.24,-6.50,-5.77,-6.02,12.65,7.22,1.43,5.79,6.86,6.00,0.36,0.24,6.50,5.77,6.02,57%,11%,46%,3%,114%,152%,113%,108%,-,-,-,-
4_formylpyridine,-16.09,9.77,-1.43,8.34,-7.75,-8.15,0.51,0.81,-7.24,-7.34,-7.00,16.09,9.77,1.43,8.34,7.75,8.15,0.51,0.81,7.24,7.34,7.00,61%,9%,52%,3%,95%,63%,99%,103%,-,-,-,-
4_hydroxybenzaldehyde,-18.64,12.85,-4.55,8.30,-10.34,-10.86,0.32,0.81,-10.02,-10.05,-8.83,18.64,12.85,4.55,8.30,10.34,10.86,0.32,0.81,10.02,10.05,8.83,69%,24%,45%,2%,95%,40%,100%,113%,-,-,-,-
4_methyl_1h_imidazole,-14.54,7.04,-2.57,4.47,-10.07,-8.95,-1.04,0.74,-11.11,-8.21,-10.27,14.54,7.04,2.57,4.47,10.07,8.95,1.04,0.74,11.11,8.21,10.27,48%,18%,31%,7%,113%,140%,135%,108%,-,-,-,-
cyclohexanone,-10.37,7.27,-0.56,6.70,-3.67,-5.24,-0.46,1.06,-4.13,-4.18,-4.91,10.37,7.27,0.56,6.70,3.67,5.24,0.46,1.06,4.13,4.18,4.91,70%,5%,65%,4%,70%,43%,99%,84%,-,-,-,-
cyclohexylamine,-4.01,2.35,-1.76,0.59,-3.42,-5.02,0.46,1.07,-2.96,-3.95,-4.59,4.01,2.35,1.76,0.59,3.42,5.02,0.46,1.07,2.96,3.95,4.59,59%,44%,15%,11%,68%,43%,75%,64%,-,-,-,-
cyclopentane,-0.06,0.05,-0.09,-0.03,-0.09,0.00,1.36,1.65,1.27,1.65,1.20,0.06,0.05,0.09,0.03,0.09,0.00,1.36,1.65,1.27,1.65,1.20,95%,153%,58%,2413%,2957%,82%,77%,106%,-,-,-,-
cyclopentanol,-8.75,6.15,-2.21,3.93,-4.82,-5.37,0.66,1.08,-4.15,-4.29,-5.49,8.75,6.15,2.21,3.93,4.82,5.37,0.66,1.08,4.15,4.29,5.49,70%,25%,45%,8%,90%,62%,97%,76%,-,-,-,-
cyclopentanone,-10.00,7.03,-0.62,6.41,-3.59,-4.97,0.37,1.08,-3.22,-3.89,-4.70,10.00,7.03,0.62,6.41,3.59,4.97,0.37,1.08,3.22,3.89,4.70,70%,6%,64%,4%,72%,34%,83%,69%,-,-,-,-
cyclopentene,-0.81,0.42,-0.46,-0.03,-0.84,-0.56,1.50,1.79,0.65,1.23,0.56,0.81,0.42,0.46,0.03,0.84,0.56,1.50,1.79,0.65,1.23,0.56,52%,56%,4%,185%,151%,84%,53%,117%,-,-,-,-
cyclopropane,-0.17,0.14,-0.18,-0.04,-0.21,-0.04,1.73,2.52,1.52,2.48,0.75,0.17,0.14,0.18,0.04,0.21,0.04,1.73,2.52,1.52,2.48,0.75,82%,106%,25%,1015%,545%,69%,61%,203%,-,-,-,-
diethylamine,-5.42,2.92,-0.93,1.99,-3.44,-5.05,0.80,2.06,-2.63,-2.99,-4.07,5.42,2.92,0.93,1.99,3.44,5.05,0.80,2.06,2.63,2.99,4.07,54%,17%,37%,15%,68%,39%,88%,65%,-,-,-,-
diethyl_malonate,-19.85,13.65,-1.66,11.99,-7.86,-8.37,0.40,1.65,-7.46,-6.72,-6.00,19.85,13.65,1.66,11.99,7.86,8.37,0.40,1.65,7.46,6.72,6.00,69%,8%,60%,2%,94%,24%,111%,124%,-,-,-,-
diisopropyl_ether,-4.01,1.70,-0.22,1.49,-2.53,-2.93,1.36,2.75,-1.17,-0.18,-0.53,4.01,1.70,0.22,1.49,2.53,2.93,1.36,2.75,1.17,0.18,0.53,42%,5%,37%,34%,86%,50%,656%,220%,-,-,-,-
ethanol,-8.63,6.44,-2.35,4.08,-4.54,-5.17,1.12,1.78,-3.42,-3.40,-5.00,8.63,6.44,2.35,4.08,4.54,5.17,1.12,1.78,3.42,3.40,5.00,75%,27%,47%,13%,88%,63%,101%,68%,-,-,-,-
ethene,-0.50,0.36,-0.39,-0.03,-0.53,-0.30,1.94,2.63,1.41,2.33,1.28,0.50,0.36,0.39,0.03,0.53,0.30,1.94,2.63,1.41,2.33,1.28,71%,78%,6%,388%,177%,74%,61%,110%,-,-,-,-
ethylamine,-4.25,2.56,-1.90,0.65,-3.59,-4.96,0.79,1.80,-2.80,-3.16,-4.50,4.25,2.56,1.90,0.65,3.59,4.96,0.79,1.80,2.80,3.16,4.50,60%,45%,15%,19%,73%,44%,89%,62%,-,-,-,-
